MES; ANO; TIPO DE ERRO; IDENTIFICADOR DO CANAL; NOME DO ARQUIVO OU CANAL; FATO GERADOR DO ERRO; DESCRICAO DO ERRO

agosto; 2013; PROGRAMA; 121; ancine_121_xmltv.xml; <programa: 0000341710, evento: , serie: >; data/hora inicio deste programa (01/08/2013 01:55:01) diferente da data/hora fim do programa anterior (01/08/2013 01:55:00)
agosto; 2013; PROGRAMA; 121; ancine_121_xmltv.xml; <programa: 0000331469, evento: , serie: >; data/hora fim (01/08/2013 03:40:00) menor que data/hora inicio (01/08/2013 04:10:00) para o mesmo programa
agosto; 2013; PROGRAMA; 121; ancine_121_xmltv.xml; <programa: 0000331469, evento: , serie: >; data/hora inicio deste programa (01/08/2013 04:10:00) diferente da data/hora fim do programa anterior (01/08/2013 03:40:00)
agosto; 2013; PROGRAMA; 121; ancine_121_xmltv.xml; <programa: 0000331469, evento: , serie: >; data/hora fim (01/08/2013 03:40:00) menor que data/hora inicio (01/08/2013 04:10:00) para o mesmo programa
agosto; 2013; PROGRAMA; 121; ancine_121_xmltv.xml; <programa: 0000341691, evento: , serie: >; data/hora inicio deste programa (01/08/2013 04:10:00) diferente da data/hora fim do programa anterior (01/08/2013 03:40:00)
agosto; 2013; PROGRAMA; 122; ancine_122_xmltv.xml; <programa: 0000241750, evento: , serie: >; data/hora inicio deste programa (03/08/2013 00:00:00) diferente da data/hora fim do programa anterior (02/08/2013 00:00:00)
agosto; 2013; PROGRAMA; 122; ancine_122_xmltv.xml; <programa: 0000241750, evento: , serie: >; nao existe titulo informado para o programa
agosto; 2013; PROGRAMA; 122; ancine_122_xmltv.xml; <programa: 0000241750, evento: , serie: >; identificador de canal (123) diferente do informado no inicio do arquivo (122)
agosto; 2013; ARQUIVO; 122; ancine_122_xmltv.xml; ancine_122_xmltv.xml; o(s) seguinte(s) dia(s) nao esta(ao) presente(s) no arquivo: 02/08/2013
agosto; 2013; ARQUIVO; 3DH; ancine_3dh_xmltv.xml; ancine_3dh_xmltv.xml; nao existe nenhum programa elencado no arquivo para este mes

agosto; 2013; CANAL; 124; PFC 4; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 125; PFC 5; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 126; PFC 6; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 127; PFC 7; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 128; PFC 8; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 129; MOSAICO NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 134; COMBATE; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 203; GAMES CLÁSSICOS NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 205; COMPRA DIRETA NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 250; NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 262; CANAL DE USO INTERNO NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 264; CANAL DE USO INTERNO NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; 297; ESPELHO CANAL AJUDA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
